instance,optimal_value,model
0,14789695.463138817,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
1,15725995.269499825,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
2,13602090.392440611,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
3,13870008.364935152,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
4,14879438.583036866,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
5,12466444.15568454,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
6,14451638.864842521,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
7,16519049.993793609,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
8,14809625.945942732,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
9,14479130.690741677,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
10,14406960.554753732,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
11,12796136.047719978,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
12,13735151.803111602,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
13,14784710.634287227,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
14,16499095.776962308,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
15,14999914.29018631,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
16,12884206.998208327,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
17,15148126.903882705,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
18,14792270.311975,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
19,13689017.469166132,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
20,16169459.772554234,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
21,18525084.45671432,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
22,13437146.9432854,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
23,13952004.869397804,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
24,13901845.247427113,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
25,11489225.319562959,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
26,13100872.903223973,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
27,16346877.348638013,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
28,13655592.92520917,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
29,16145150.712671006,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
30,15479705.056068348,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
31,13680230.891920177,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
32,13548861.464407243,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
33,13237775.632624552,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
34,14633466.97853144,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
35,19534228.405301243,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
36,17081587.930748705,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
37,14304129.937032308,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
38,12849782.995141642,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
39,14963520.81609167,../Results/MSE_pred/MSE-prediction_test_epoch4.npy
