validation_loss,test_loss,validation_regret_full,test_regret_full,subepoch,time,training_relaxation,validation_relaxation,hyperparams,total_time
4905.888671875,5265.408203125,22249.5564249994,14425.6928784945,2258,12545.368332386,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4943.84716796875,5283.22412109375,22249.5564249994,14425.6928784945,2308,12797.5486109257,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4950.79248046875,5290.158203125,22249.5564249994,13807.2869268032,2358,13044.945618391,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4931.03662109375,5286.1572265625,23088.1430319787,14425.6928784945,2408,13275.4792397022,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4957.94287109375,5297.41015625,22249.5564249994,14240.3980654238,2458,13523.8492321968,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4975.7568359375,5300.92822265625,22249.5564249994,14240.3981143858,2508,13773.1125428677,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4970.3115234375,5297.79150390625,22249.5564249994,14240.3980654238,2558,14026.5688891411,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4958.90234375,5281.59228515625,24362.2072125531,14953.7801121809,2608,14298.407453537,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4974.07763671875,5289.17578125,24362.2072125531,14425.6928784945,2658,14656.6844034195,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4943.7373046875,5285.9736328125,22249.5564249994,14659.8457429886,2708,14906.4310033321,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4898.76171875,5253.4111328125,22249.5564249994,14953.7801121809,2758,15147.1978034973,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4926.1611328125,5273.19091796875,22249.5564249994,14425.6928784945,2810,15382.956202507,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4902.8505859375,5260.2109375,22249.5564249994,14425.6928784945,2860,15636.669011116,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4885.67041015625,5254.0439453125,22798.0676645185,14425.6928784945,2910,15897.422565937,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4865.7578125,5249.19921875,22798.0676645185,14814.0003017425,2960,16139.2940952778,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4868.255859375,5241.935546875,22798.0676645185,14425.6928784945,3010,16403.2773385048,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4866.71240234375,5227.45703125,24773.0965894985,14425.6928784945,3060,16651.1563384533,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4888.22265625,5247.23583984375,22249.5564249994,14953.7801121809,3110,16914.6548194885,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4882.22119140625,5256.4296875,22798.0676645185,14659.8460073245,3160,17241.4785556793,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4844.48388671875,5226.001953125,22838.3258103468,14953.7801121809,3210,17487.9909861088,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4850.50048828125,5218.84326171875,25439.8391901208,14953.7801121809,3260,17714.2163112164,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4897.96435546875,5244.41650390625,25439.8391901208,14953.7801121809,3310,17966.7266380787,FALSE,FALSE,{'lr': 1e-05},53844.324908495
4922.75439453125,5259.990234375,25439.8391901208,14953.7801121809,3362,18212.0120465755,FALSE,FALSE,{'lr': 1e-05},53844.324908495
