test_loss,test_regret_full,subepoch,validation_loss,validation_regret_full,Runtime,time,training_relaxation,validation_relaxation,reset,presolve,warmstart,hyperparams
5275.19921875,15983.12341897888,50,4312.7978515625,19221.309938697726,0.3143126964569092,11.09345817565918,True,True,True,True,False,{'lr': 1e-05}
5272.66259765625,14244.603880195413,100,4521.7919921875,20400.875174169658,0.5265636444091797,16.854184865951538,True,True,True,True,False,{'lr': 1e-05}
5294.53173828125,13590.682124223791,150,4645.49658203125,20178.662003602836,0.735081672668457,22.421189785003662,True,True,True,True,False,{'lr': 1e-05}
5332.53857421875,13788.398153305054,200,4762.822265625,19180.558456792845,0.9326705932617188,28.571855068206787,True,True,True,True,False,{'lr': 1e-05}
5341.166015625,13788.398153305054,250,4791.76806640625,18215.74335305218,1.1350276470184326,34.34676790237427,True,True,True,True,False,{'lr': 1e-05}
5344.482421875,13788.398153305054,300,4812.6513671875,17969.70595475228,1.366821527481079,40.38309621810913,True,True,True,True,False,{'lr': 1e-05}
5352.0205078125,13788.398153305054,350,4854.19384765625,18215.74335305218,1.5725090503692627,46.25566697120666,True,True,True,True,False,{'lr': 1e-05}
5381.07861328125,13788.398153305054,400,4907.09912109375,18215.74335305218,1.7821061611175537,52.17538475990296,True,True,True,True,False,{'lr': 1e-05}
5368.673828125,13788.398153305054,450,4903.8916015625,18215.74335305218,2.024341821670532,57.79827499389648,True,True,True,True,False,{'lr': 1e-05}
5385.7431640625,13788.398153305054,500,4916.34033203125,18215.74335305218,2.246894836425781,63.491759300231934,True,True,True,True,False,{'lr': 1e-05}
5407.20361328125,13590.682124223791,550,4961.6455078125,18215.74335305218,2.4571566581726074,69.35081362724304,True,True,True,True,False,{'lr': 1e-05}
5397.85595703125,13788.398153305054,602,4956.05126953125,18215.74335305218,2.6148302555084233,74.70991206169128,True,True,True,True,False,{'lr': 1e-05}
5393.1845703125,13788.398153305054,652,4964.33154296875,18215.74335305218,2.810636043548584,79.99610805511475,True,True,True,True,False,{'lr': 1e-05}
5384.45751953125,13788.398153305054,702,4951.23583984375,18215.74335305218,2.9573071002960205,85.59879398345947,True,True,True,True,False,{'lr': 1e-05}
5379.64453125,13788.398153305054,752,4951.43115234375,19180.558456792845,3.116133689880371,91.32280945777893,True,True,True,True,False,{'lr': 1e-05}
5367.65087890625,13788.398153305054,802,4934.89013671875,19180.558456792845,3.2735164165496826,96.63019418716429,True,True,True,True,False,{'lr': 1e-05}
5338.3359375,13788.398153305054,852,4891.13134765625,19180.558456792845,3.4306225776672363,101.79927659034729,True,True,True,True,False,{'lr': 1e-05}
5317.66552734375,13590.682124223791,902,4863.3955078125,19180.558456792845,3.5937633514404297,107.0123507976532,True,True,True,True,False,{'lr': 1e-05}
5287.5537109375,13590.682124223791,952,4801.033203125,19180.558456792845,3.747505426406861,112.05077195167542,True,True,True,True,False,{'lr': 1e-05}
5275.11328125,13590.682124223791,1002,4785.34375,19221.309938697726,3.884251832962036,117.42294073104858,True,True,True,True,False,{'lr': 1e-05}
5267.662109375,13240.186654815916,1052,4781.4755859375,18738.722692279727,4.028353452682495,122.79491138458252,True,True,True,True,False,{'lr': 1e-05}
5270.81787109375,13240.186654815916,1102,4784.34912109375,18738.722692279727,4.178371191024779,127.60495829582214,True,True,True,True,False,{'lr': 1e-05}
5254.8466796875,14239.519095572876,1154,4764.984375,18738.722692279727,4.324951410293578,132.5905632972717,True,True,True,True,False,{'lr': 1e-05}
5243.51123046875,14239.519095572876,1204,4751.89599609375,18738.722692279727,4.505509853363037,137.9669649600983,True,True,True,True,False,{'lr': 1e-05}
5246.46875,14239.519095572876,1254,4758.75048828125,18738.722692279727,4.66927433013916,143.11367917060855,True,True,True,True,False,{'lr': 1e-05}
5239.03857421875,14239.519095572876,1304,4737.3681640625,18738.722692279727,4.830693006515503,148.76198291778562,True,True,True,True,False,{'lr': 1e-05}
5234.77783203125,14239.519095572876,1354,4732.90185546875,18738.722692279727,4.9726202487945566,153.79817366600037,True,True,True,True,False,{'lr': 1e-05}
