validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,subepoch,Runtime,time,hyperparams,validation_relax
,,,14268.27,5358.30717728693,1380.42333984375,1,0.002243041992188,80.6506445407868,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,12878.9201,5300.00233469691,1384.14013671875,51,0.197325229644775,244.220976352692,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,12601.3017,5240.42753434915,1383.13989257813,101,0.415239810943604,407.452967405319,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,12522.845,5167.48756361282,1381.33117675781,151,0.636487722396851,566.646993637085,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,14906.9419499999,5078.45102889684,1382.38537597656,201,0.87868070602417,741.008503437042,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19193.8685,4987.77572677489,1384.78454589844,251,1.0774667263031,917.169683694839,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,18810.5019999999,4924.7083412143,1382.78173828125,301,1.36545920372009,1079.21844339371,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19193.8685,4824.66785001856,1384.81176757813,351,1.60421228408813,1247.31509971619,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19236.5837999999,4755.00616487422,1384.81176757813,401,1.84262275695801,1423.51465415955,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19236.5837999999,4702.24490807707,1384.78454589844,451,2.0842387676239,1587.64631295204,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19236.5837999999,4648.77328343599,1384.78454589844,501,2.3138747215271,1752.54257059097,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19672.9808499999,4597.35355738049,1384.81176757813,551,2.55895924568176,1921.49755620956,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19672.9808499999,4594.51351077993,1384.81176757813,553,2.56837940216064,2028.91189861298,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,20220.7259,4513.09671173927,1384.81176757813,603,2.77012300491333,2209.82250094414,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,21298.02255,4433.74896037912,1384.81176757813,653,3.01237344741821,2371.66652822494,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,20220.7259,4395.30262311503,1384.81176757813,703,3.1925048828125,2544.39900016785,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19236.5837999999,4367.27007006259,1384.81176757813,753,3.42026448249817,2724.83035206795,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19236.5837999999,4299.3885717023,1384.81176757813,803,3.67412662506104,2889.18099808693,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19672.9808499999,4228.89841521579,1384.81176757813,853,3.88539218902588,3055.02864384651,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,20220.7259,4164.86294531325,1384.81176757813,903,4.09583020210266,3224.81353068352,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19672.9808499999,4104.49173475253,1384.44226074219,953,4.32203674316406,3388.46027135849,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,20220.7259,4058.9393025978,1384.81176757813,1003,4.54196763038635,3549.29450440407,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19672.9808499999,4001.1146037347,1384.81176757813,1053,4.84284687042236,3731.86797332764,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19672.9808499999,3931.5508807326,1384.81176757813,1103,5.02765154838562,3910.09866976738,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19672.9808499999,3927.56248119859,1384.81176757813,1105,5.03421235084534,4020.46651244164,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,20220.7259,3833.26592273572,1384.81176757813,1155,5.2573766708374,4194.51452803612,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19672.9808499999,3781.75652697201,1384.81176757813,1205,5.51562142372131,4354.85330057144,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19672.9808499999,3717.93696989306,1384.81176757813,1255,5.7530689239502,4532.25260901451,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19672.9808499999,3671.88498971029,1384.81176757813,1305,5.95429635047913,4713.8852417469,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19672.9808499999,3613.40512765646,1384.81176757813,1355,6.20491147041321,4893.57429361343,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,20220.7259,3569.66409620795,1384.81176757813,1405,6.42489123344421,5065.61561965942,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19672.9808499999,3509.0706502544,1384.81176757813,1455,6.68296313285828,5238.8595302105,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,20220.7259,3446.96649284587,1384.81176757813,1505,6.95130133628845,5401.00929903984,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19236.5837999999,3420.42901911779,1384.81176757813,1555,7.16877913475037,5569.04482269287,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
,,,19672.9808499999,3376.20512193522,1384.81176757813,1605,7.39295935630798,5736.74006843567,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",TRUE
