validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,subepoch,Runtime,time,hyperparams,validation_relax
64649.7871,4000.26528907687,2594.49841308594,54707.7700000001,5303.3737693575,2769.44921875,1,0.157264471054077,37.6859519481659,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
17670.134175,3951.29245052028,2529.06872558594,18725.4447,5222.12750325298,2710.52368164062,51,0.665368318557739,130.532830953598,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
17670.134175,3897.94344136712,2531.70568847656,18318.9840999999,5144.18132679521,2709.42919921875,101,1.32790303230286,226.01593208313,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
17670.134175,3844.38708800069,2531.70568847656,27691.8365,5071.71972391432,2712.2177734375,151,1.86114692687988,321.649564743042,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
17670.134175,3798.00972508777,2531.70568847656,26890.421,4996.12780375816,2712.2177734375,201,2.42300486564636,415.276819944382,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
19528.505225,3753.20916664941,2527.44714355469,27295.8999,4929.96577611118,2709.42919921875,251,2.94272613525391,508.734781503677,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
17670.134175,3709.62584424444,2524.81018066406,27295.8999,4871.89646446782,2709.42919921875,301,3.62674355506897,605.061509370804,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
17670.134175,3665.85303653261,2524.81018066406,21080.8164999999,4800.98739977166,2709.42919921875,351,4.15253877639771,698.865040540695,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
17670.134175,3624.27384294854,2524.81018066406,16660.4148500001,4721.8189453473,2710.98706054687,401,4.6718897819519,792.017468690872,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3582.72468606474,2524.81018066406,15110.7705,4667.39210200822,2710.98706054687,451,5.25325679779053,888.183836936951,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3541.21142336961,2521.94580078125,14703.3081,4608.7391613816,2710.98706054687,501,5.80625128746033,983.070614337921,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3498.27489969135,2521.94580078125,14703.3081,4533.52855374209,2710.98706054687,551,6.3469090461731,1077.30763602257,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3496.60574076584,2521.94580078125,14703.3081,4530.90109479462,2710.98706054687,553,6.72085475921631,1130.80539441109,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3451.97938548973,2521.94580078125,15110.7705,4462.01411942563,2710.98706054687,603,7.18166780471802,1227.38872909546,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3407.95262769945,2524.81018066406,15110.7705,4387.83637629047,2710.98706054687,653,7.71670866012573,1322.16450405121,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3364.99856403561,2524.81018066406,15982.79995,4320.93436235808,2710.98706054687,703,8.3246500492096,1417.35248661041,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3323.51889611996,2524.81018066406,16660.4148500001,4254.60309203139,2710.98706054687,753,8.85718941688538,1510.66880607605,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3278.86925808931,2524.81018066406,16704.9052,4198.70209597925,2710.98706054687,803,9.52384757995606,1604.32115769386,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3243.10246218252,2524.81018066406,16660.4148500001,4145.71391792261,2710.98706054687,853,10.1174926757813,1696.78307294846,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3205.66466702459,2524.81018066406,16660.4148500001,4099.16766518532,2710.98706054687,903,10.7370018959045,1793.10100889206,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3166.26390113896,2524.81018066406,16660.4148500001,4049.52648808716,2710.98706054687,953,11.2288131713867,1885.02885985374,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3127.22640332479,2521.95361328125,15982.79995,3985.97947745127,2710.98706054687,1003,11.7294316291809,1982.4673268795,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3093.58568404469,2521.94580078125,15610.25865,3922.89369703859,2710.98706054687,1053,12.4854743480682,2079.54857778549,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3058.29589244985,2521.94580078125,15110.7705,3865.19534652303,2710.98706054687,1103,13.0192685127258,2175.70580005646,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3056.85084695728,2521.94580078125,15110.7705,3862.8047388437,2710.98706054687,1105,13.4530320167542,2228.08911514282,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,3022.6717390254,2521.94580078125,14703.3081,3801.167853205,2710.98706054687,1155,13.985095500946,2322.74381566048,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2984.17147393273,2521.94580078125,14703.3081,3745.59270124613,2710.98706054687,1205,14.6379516124725,2416.0050432682,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2948.51939654674,2521.94580078125,14275.4124,3692.67520526356,2710.98706054687,1255,15.2075307369232,2508.99208760262,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2912.27180633806,2521.94580078125,14703.3081,3636.7698088215,2710.98706054687,1305,15.655131816864,2599.83675289154,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2877.40026097852,2521.94580078125,14703.3081,3589.02330152888,2710.98706054687,1355,16.2188272476196,2694.0128493309,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2844.47921304081,2521.94580078125,14275.4124,3533.07889503184,2710.98706054687,1405,16.6748425960541,2785.12086653709,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2811.83022743414,2521.94580078125,14275.4124,3471.07350161318,2710.98706054687,1455,17.3115990161896,2879.05656933784,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2776.07625950741,2521.94580078125,14275.4124,3414.34454058408,2710.98706054687,1505,17.8212490081787,2975.6146299839,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2741.03849900048,2521.94580078125,14275.4124,3372.81738030903,2710.98706054687,1555,18.2661843299866,3069.49679803848,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2708.76251795831,2521.94580078125,14275.4124,3328.77484219263,2710.98706054687,1605,18.7906649112701,3163.55107712746,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2679.28069451594,2521.94580078125,14275.4124,3285.06466160361,2710.98706054687,1655,19.2886579036713,3260.85553526878,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2678.01600128809,2521.94580078125,14275.4124,3283.34227734086,2710.98706054687,1657,19.6930327415466,3310.64469003677,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2643.811655846,2521.94580078125,14703.3081,3243.17758377639,2710.98706054687,1707,20.1859891414642,3403.90098166466,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2611.04590787088,2521.94580078125,14275.4124,3199.831368623,2710.98706054687,1757,20.6164209842682,3500.08891010284,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2579.55397718888,2521.94580078125,15110.7705,3153.59816786255,2710.98706054687,1807,21.1586830615997,3592.09322142601,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2553.78956090392,2521.94580078125,15110.7705,3109.31214289599,2710.98706054687,1857,21.6422238349915,3687.5811021328,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2527.67958963605,2521.94580078125,15110.7705,3052.73594532064,2710.98706054687,1907,22.2790424823761,3782.87299489975,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2494.73223101505,2521.94580078125,15610.25865,3006.08274159737,2710.98706054687,1957,22.8092753887177,3874.7711057663,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2464.43014065753,2521.94580078125,15610.25865,2959.4215544756,2710.98706054687,2007,23.363240480423,3965.98324632645,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2435.24019846864,2521.94580078125,15610.25865,2917.18232185208,2710.98706054687,2057,23.8461744785309,4061.70078992844,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2409.80932023681,2521.94580078125,14703.3081,2886.53185821752,2710.98706054687,2107,24.4370272159576,4156.07373142242,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2382.43240566297,2521.94580078125,15110.7705,2855.74488847307,2710.98706054687,2157,24.901891708374,4251.94129991531,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16933.210325,2358.72434207757,2521.94580078125,14703.3081,2819.35088755974,2710.98706054687,2207,25.3381133079529,4346.77437281609,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
