validation_loss,test_loss,validation_regret_full,test_regret_full,subepoch,time,validation_relaxation,hyperparams,total_time
2765.205810546875,3726.069580078125,16065.687459459645,11703.228259621188,1,1.0454957485198975,True,{'lr': 0.1},2309.2247321605682
1934.5384521484375,2673.017333984375,16065.687459459645,10797.088917350862,2,1.4914374351501465,True,{'lr': 0.1},2309.2247321605682
1390.915283203125,1997.1116943359375,16065.687459459645,10741.755895786453,3,1.9950101375579834,True,{'lr': 0.1},2309.2247321605682
1033.1834716796875,1560.783447265625,16893.866160517093,10741.755895786453,4,2.512173652648926,True,{'lr': 0.1},2309.2247321605682
796.8784790039062,1277.7767333984375,16893.866160517093,10714.168551407289,5,3.0341832637786865,True,{'lr': 0.1},2309.2247321605682
640.3150634765625,1093.4259033203125,16065.687459459645,10714.168551407289,6,3.5342743396759033,True,{'lr': 0.1},2309.2247321605682
536.2988891601562,972.8369750976562,16065.687459459645,10714.168551407289,7,4.082453727722168,True,{'lr': 0.1},2309.2247321605682
466.995361328125,893.6193237304688,16065.687459459645,10714.168551407289,8,4.5408408641815186,True,{'lr': 0.1},2309.2247321605682
420.6709899902344,841.3468627929688,16065.687459459645,10741.755895786453,9,5.106060981750488,True,{'lr': 0.1},2309.2247321605682
389.5904846191406,806.6930541992188,14841.627143044607,10741.755895786453,10,5.65058970451355,True,{'lr': 0.1},2309.2247321605682
368.6464538574219,783.6080322265625,14841.627143044607,10714.168551407289,11,6.113142251968384,True,{'lr': 0.1},2309.2247321605682
354.461669921875,768.1541748046875,14841.627143044607,10714.168551407289,12,6.7017974853515625,True,{'lr': 0.1},2309.2247321605682
344.7992858886719,757.75927734375,14841.627143044607,10714.168551407289,13,7.222769737243652,True,{'lr': 0.1},2309.2247321605682
338.1748352050781,750.736572265625,14841.627143044607,10714.168551407289,14,7.769719123840332,True,{'lr': 0.1},2309.2247321605682
333.60076904296875,745.9747314453125,14841.627143044607,10714.168551407289,15,8.23913836479187,True,{'lr': 0.1},2309.2247321605682
