validation_loss,test_loss,validation_regret_full,test_regret_full,subepoch,time,training_relaxation,validation_relaxation,hyperparams,total_time
4275.00634765625,5174.28076171875,20400.8751741698,15072.7330670159,50,98.5064201354981,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4505.4609375,5184.95458984375,20178.6620036028,13896.3557087802,100,113.047094345093,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4627.88134765625,5189.52783203125,20178.6620036028,16567.1679276656,150,126.48548746109,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4695.9443359375,5196.84423828125,20178.6620036028,16567.1679276656,200,140.010066509247,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4727.240234375,5201.962890625,19180.5584567928,16307.4860157585,250,153.666287899017,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4775.78662109375,5231.69287109375,18215.7433530522,15900.8061531826,300,167.56837272644,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4758.40380859375,5221.59033203125,18215.7433530522,16567.1679276656,350,181.041833877563,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4803.9814453125,5240.54052734375,18215.7433530522,13853.3651551425,400,195.272240877152,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4845.85546875,5253.82177734375,18215.7433530522,16390.9499442671,450,208.806663274765,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4895.46044921875,5285.0048828125,18215.7433530522,16390.9499442671,500,222.804184913635,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4892.59716796875,5288.158203125,18215.7433530522,16390.9499442671,550,236.753287315369,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4912.95361328125,5295.4951171875,18215.7433530522,16390.9499442671,602,250.709663629532,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4976.9130859375,5337.42724609375,18215.7433530522,15089.303536606,652,264.707802057266,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4996.861328125,5365.15185546875,18486.1994693185,13079.1496459004,702,278.981586694717,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
5000.1923828125,5355.02197265625,17963.6511510754,13079.1496459004,752,292.467576265335,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4986.22265625,5343.08544921875,17963.6511510754,13610.4863408662,802,306.039734601974,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4982.10498046875,5335.9541015625,18215.7433530522,15089.303536606,852,319.786775112152,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4971.60009765625,5330.20263671875,17963.6511510754,13079.1496459004,902,333.249028205872,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4980.79931640625,5331.8642578125,18215.7433530522,15150.504515114,952,347.85750412941,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4977.8974609375,5331.01171875,17963.6511510754,15150.504515114,1002,361.558167457581,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
4938.18701171875,5303.84326171875,18215.7433530522,15749.27236434,1052,374.706814527512,FALSE,FALSE,{'lr': 1e-05},6966.65101742744
