validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,subepoch,Runtime,time,hyperparams,validation_relax
68821.09955,3976.37419947579,1190.31323242188,88389.2420500001,5261.19940266393,1245.2216796875,1,0.26425576210022,71.1888997554779,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
27643.1779750001,3915.3237982295,1127.17846679688,25554.3095,5181.64379549019,1189.10083007813,51,0.802900075912476,205.701606750488,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
21537.9034,3860.05215195229,1117.76623535156,19715.2402,5093.46575951774,1185.86645507813,101,1.29475474357605,339.196231365204,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
20290.37935,3808.64939219498,1116.34881591797,18379.0917,5016.94158977377,1185.8359375,151,1.75201416015625,473.272415161133,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16470.13195,3761.02750247087,1117.76623535156,19610.4216,4948.9597162697,1182.69189453125,201,2.482257604599,610.140123128891,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16763.1766,3720.20232993329,1115.66387939453,16868.5415,4877.65142785577,1183.5458984375,251,3.1102089881897,743.377913236618,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16391.967875,3676.07696169309,1113.49133300781,16692.372,4806.86973794229,1183.5458984375,301,3.62200355529785,879.942185878754,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16391.967875,3626.29333326874,1113.49133300781,16190.2871,4741.874395165,1182.69189453125,351,4.17818665504456,1015.41538691521,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16769.497,3580.21794446346,1113.49133300781,16190.2871,4684.01022018828,1179.24328613281,401,4.79022932052612,1147.56319832802,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
16769.497,3536.11296187102,1113.49133300781,16190.2871,4616.34207381905,1177.20361328125,451,5.39460468292236,1283.29956555367,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01, 'betas': (0.98, 0.999)}",TRUE
