test_loss,test_regret_full,subepoch,validation_loss,validation_regret_full,Runtime,time,training_relaxation,validation_relaxation,reset,presolve,warmstart,hyperparams
5355.1728515625,16762.33406422683,50,4501.74658203125,28809.86918240052,0.3304498195648193,60.94753384590149,True,True,False,True,True,{'lr': 1e-05}
5359.94287109375,16762.33406422683,100,4732.61669921875,31627.478249932057,0.5583839416503906,88.5785481929779,True,True,False,True,True,{'lr': 1e-05}
5404.4716796875,14704.021391048796,150,4882.04296875,25919.750385136693,0.7885704040527344,116.09343719482422,True,True,False,True,True,{'lr': 1e-05}
5408.72998046875,14750.251375713618,200,4941.48486328125,26422.31569423748,1.0276422500610352,143.93758201599118,True,True,False,True,True,{'lr': 1e-05}
5432.65625,13923.785104980227,250,4981.0751953125,22942.96363026416,1.2616937160491943,171.43158245086667,True,True,False,True,True,{'lr': 1e-05}
5442.17578125,13923.785104980227,300,5022.76025390625,22942.96363026416,1.4936373233795166,198.8720977306366,True,True,False,True,True,{'lr': 1e-05}
5419.15673828125,13713.048133163478,350,4987.1591796875,22942.96363026416,1.734093189239502,226.99690508842468,True,True,False,True,True,{'lr': 1e-05}
5416.39892578125,13785.893580284435,400,5018.90869140625,25258.740694237524,1.9705681800842283,255.3108024597168,True,True,False,True,True,{'lr': 1e-05}
5431.90234375,13785.893580284435,450,5059.19140625,25258.740694237524,2.205313205718994,283.5611200332642,True,True,False,True,True,{'lr': 1e-05}
5417.81103515625,15389.457389049698,500,5053.4150390625,26422.31569423748,2.4416470527648926,311.3188235759735,True,True,False,True,True,{'lr': 1e-05}
5416.17822265625,13785.893580284435,550,5048.4052734375,26422.31569423748,2.68192458152771,338.37933492660517,True,True,False,True,True,{'lr': 1e-05}
5430.13330078125,16762.33406422683,602,5099.5224609375,28113.457260136725,2.845256328582764,365.5114047527313,True,True,False,True,True,{'lr': 1e-05}
5404.83740234375,16762.33406422683,652,5074.61767578125,31627.478249932057,3.0007357597351074,391.9196767807007,True,True,False,True,True,{'lr': 1e-05}
5410.72607421875,16762.33406422683,702,5082.52587890625,31627.478249932057,3.15616512298584,417.9925451278687,True,True,False,True,True,{'lr': 1e-05}
5414.77001953125,16762.33406422683,752,5091.97314453125,31627.478249932057,3.3159089088439937,445.17768120765686,True,True,False,True,True,{'lr': 1e-05}
5426.70654296875,16762.33406422683,802,5115.00634765625,31627.466334039582,3.476193189620972,471.8986999988556,True,True,False,True,True,{'lr': 1e-05}
5436.9248046875,17972.37879783567,852,5135.3828125,31627.478249932057,3.6316921710968018,497.5221574306488,True,True,False,True,True,{'lr': 1e-05}
5449.41943359375,17972.37879783567,902,5143.552734375,31627.478249932057,3.7878623008728023,523.6434872150421,True,True,False,True,True,{'lr': 1e-05}
5446.50048828125,17972.37879783567,952,5140.34716796875,31627.478249932057,3.9448399543762207,550.0334048271178,True,True,False,True,True,{'lr': 1e-05}
5442.6708984375,17972.37879783567,1002,5131.86865234375,31627.478249932057,4.097381591796875,576.5478370189668,True,True,False,True,True,{'lr': 1e-05}
5443.92529296875,18242.416727008764,1052,5130.7919921875,31627.478249932057,4.251659393310547,602.6173138618468,True,True,False,True,True,{'lr': 1e-05}
5450.26611328125,18242.416727008764,1102,5144.216796875,31627.478249932057,4.409153461456299,629.2321009635925,True,True,False,True,True,{'lr': 1e-05}
5466.298828125,17972.37879783567,1154,5172.685546875,32352.327313690912,4.572153091430664,655.8314077854156,True,True,False,True,True,{'lr': 1e-05}
5464.39794921875,18810.50292184809,1204,5166.66943359375,32352.327291979687,4.729283809661865,682.4233641624452,True,True,False,True,True,{'lr': 1e-05}
5487.4169921875,16762.33406422683,1254,5197.15234375,32352.327313690912,4.880644083023071,707.6012570858003,True,True,False,True,True,{'lr': 1e-05}
5478.00048828125,18791.190683002584,1304,5193.240234375,32352.327313690912,5.036408424377441,734.6459608078003,True,True,False,True,True,{'lr': 1e-05}
5467.6630859375,18791.190683002584,1354,5169.11474609375,32352.327291979687,5.189037799835205,761.0001001358032,True,True,False,True,True,{'lr': 1e-05}
5482.119140625,16762.33406422683,1404,5182.00341796875,32352.327313690912,5.34583592414856,786.3705132007599,True,True,False,True,True,{'lr': 1e-05}
