test_loss,test_regret_full,subepoch,validation_loss,validation_regret_full,Runtime,time,training_relaxation,validation_relaxation,reset,presolve,warmstart,hyperparams
5187.970703125,12290.033829173772,50,4127.6171875,16065.687459459643,0.3465542793273926,12.641273260116575,True,True,True,True,False,{'lr': 1e-05}
5138.716796875,12262.17132757185,100,4272.228515625,16065.687459459643,0.5982275009155273,20.0042736530304,True,True,True,True,False,{'lr': 1e-05}
5133.95654296875,10958.28385887202,150,4405.4873046875,16065.687459459643,0.8822882175445557,27.01706457138061,True,True,True,True,False,{'lr': 1e-05}
5158.919921875,9387.825926952297,200,4516.48193359375,16065.687459459643,1.132770299911499,33.85924386978149,True,True,True,True,False,{'lr': 1e-05}
5182.9228515625,9279.274303074228,250,4624.13525390625,16065.687459459643,1.4032390117645264,41.250860691070564,True,True,True,True,False,{'lr': 1e-05}
5217.40576171875,8654.367017821874,300,4710.791015625,16065.687459459643,1.674299240112305,48.83636903762818,True,True,True,True,False,{'lr': 1e-05}
5254.35498046875,8654.367017821874,350,4812.91943359375,16065.687459459643,1.925736665725708,55.75820922851562,True,True,True,True,False,{'lr': 1e-05}
5273.3603515625,8654.367017821874,400,4856.25390625,16065.687459459643,2.1923420429229736,62.62172722816467,True,True,True,True,False,{'lr': 1e-05}
5310.39599609375,8485.880919227377,450,4934.65234375,16065.687459459643,2.436009168624878,69.85101079940796,True,True,True,True,False,{'lr': 1e-05}
5344.00927734375,8654.367017821874,500,4996.77587890625,16065.687459459643,2.6804656982421875,76.57296395301819,True,True,True,True,False,{'lr': 1e-05}
5383.99462890625,8485.880919227377,550,5071.09619140625,16065.687459459643,2.9334697723388667,83.00904750823975,True,True,True,True,False,{'lr': 1e-05}
5451.4375,8654.367017821874,602,5221.62158203125,16065.687459459643,3.1371171474456787,89.4256751537323,True,True,True,True,False,{'lr': 1e-05}
5505.216796875,8654.367017821874,652,5341.00390625,16893.866160517093,3.3090081214904785,95.58399605751038,True,True,True,True,False,{'lr': 1e-05}
5556.93505859375,8777.745938892009,702,5442.51806640625,16065.687459459643,3.513740062713623,101.99011206626892,True,True,True,True,False,{'lr': 1e-05}
5634.51025390625,9474.591023655144,752,5578.01220703125,16065.687459459643,3.7102570533752437,108.21823000907898,True,True,True,True,False,{'lr': 1e-05}
5708.07177734375,9474.591023655144,802,5698.94091796875,16065.687459459643,3.891579151153565,114.34804344177246,True,True,True,True,False,{'lr': 1e-05}
5779.53173828125,9474.591023655144,852,5813.1142578125,16065.687459459643,4.076420307159424,120.63414978981018,True,True,True,True,False,{'lr': 1e-05}
5858.06884765625,9474.591023655144,902,5936.4736328125,16065.687459459643,4.2670886516571045,126.66112041473387,True,True,True,True,False,{'lr': 1e-05}
5924.552734375,9474.591023655144,952,6035.56494140625,16065.687459459643,4.439016819000244,132.54185795783994,True,True,True,True,False,{'lr': 1e-05}
5987.705078125,9746.67546974169,1002,6130.08642578125,16065.687459459643,4.616594314575195,138.69308114051822,True,True,True,True,False,{'lr': 1e-05}
6067.111328125,9746.67546974169,1052,6245.52734375,16065.687459459643,4.798768520355225,144.9817876815796,True,True,True,True,False,{'lr': 1e-05}
6124.9326171875,9746.67546974169,1102,6329.51806640625,16065.687459459643,4.985221147537232,151.1008198261261,True,True,True,True,False,{'lr': 1e-05}
