train_loss,train_regret_full,train_accuracy,validation_loss,validation_regret_full,validation_accuracy,test_loss,test_regret_full,test_accuracy,subepoch,time,validation_relaxation,hyperparams,capacity,total_time
143978.0,625.8273162841797,0.8118583937198067,110866.40625,531.4451760428292,,142529.421875,664.4898834228516,0.8035546139359698,1,0.013779401779174805,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
138788.28125,611.5588035583496,0.8138964371980676,107138.46875,522.4493482680548,,137830.765625,663.7555847167969,0.8044962335216572,2,0.028927326202392578,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
133796.390625,611.5588035583496,0.8144625603864735,103535.8828125,522.4493482680548,,133296.71875,663.7555847167969,0.8041431261770244,3,0.04696321487426758,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
129037.4765625,611.3168907165527,0.8146135265700483,100085.046875,522.4493482680548,,128960.21875,663.7555847167969,0.8041431261770244,4,0.05392575263977051,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
124504.515625,611.1516952514648,0.8144248188405797,96782.328125,522.4493482680548,,124816.1875,663.7555847167969,0.8037900188323918,5,0.10084819793701172,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
120186.7890625,611.1516952514648,0.8142738526570048,93621.40625,522.4493482680548,,120856.1640625,663.7555847167969,0.8037900188323918,6,0.11928653717041016,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
116073.7421875,611.3168907165527,0.8141606280193237,90595.96875,522.4493482680548,,117071.765625,663.7555847167969,0.803436911487759,7,0.12626218795776367,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
112155.328125,611.1516952514648,0.8141228864734299,87699.9765625,521.7822009495326,,113454.9296875,663.7555847167969,0.8030838041431262,8,0.13371706008911133,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
108422.0078125,611.3168907165527,0.8138964371980676,84927.6953125,521.7822009495326,,109998.0234375,663.7555847167969,0.8027306967984934,9,0.1448378562927246,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
104864.7421875,611.5588035583496,0.8136699879227053,82273.625,521.7822009495326,,106693.7421875,663.7555847167969,0.8027306967984934,10,0.17264413833618164,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
101474.9375,612.7511367797852,0.8132170893719807,79732.5390625,521.7822009495326,,103535.140625,663.7555847167969,0.8028483992467044,11,0.1831367015838623,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
98244.4453125,613.86376953125,0.8126887077294686,77299.46875,521.7822009495326,,100515.59375,663.7555847167969,0.8028483992467044,12,0.1898047924041748,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
95165.5390625,613.86376953125,0.8126887077294686,74969.6640625,521.7822009495326,,97628.8203125,663.7555847167969,0.8030838041431262,13,0.1983020305633545,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
92230.875,613.86376953125,0.8125754830917874,72738.6015625,521.7822009495326,,94868.8125,664.4898834228516,0.8027306967984934,14,0.2050468921661377,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
89433.4921875,614.2074127197266,0.8124622584541062,70601.9453125,521.7822009495326,,92229.84375,663.7555847167969,0.8027306967984934,15,0.24348735809326172,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
86766.765625,614.2074127197266,0.8121980676328503,68555.5859375,521.7822009495326,,89706.453125,663.7555847167969,0.801789077212806,16,0.2593817710876465,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
84224.4140625,614.6387329101562,0.8120093599033816,66595.59375,521.7822009495326,,87293.453125,663.7555847167969,0.801906779661017,17,0.27419066429138184,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
81800.4609375,618.124828338623,0.8116696859903382,64718.2109375,521.7822009495326,,84985.8671875,663.7555847167969,0.801906779661017,18,0.3115513324737549,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
79489.2421875,621.8313331604004,0.8114054951690821,62919.85546875,521.7822009495326,,82778.9921875,666.0730895996094,0.8015536723163842,19,0.3305017948150635,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
77285.359375,621.8313331604004,0.811292270531401,61197.10546875,530.3513107299805,,80668.3125,666.0730895996094,0.8015536723163842,20,0.3514389991760254,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
75183.6953125,634.6349639892578,0.811141304347826,59546.69921875,530.3513107299805,,78649.5234375,666.0730895996094,0.8015536723163842,21,0.38213419914245605,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
73179.3828125,634.6349639892578,0.8111790458937198,57965.51953125,530.3513107299805,,76718.53125,666.0962066650391,0.8004943502824858,22,0.38960862159729004,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
71267.78125,636.6405258178711,0.8111035628019324,56450.58203125,530.3513107299805,,74871.4140625,666.4571990966797,0.800376647834275,23,0.40124940872192383,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
69444.5078125,636.6405258178711,0.8109525966183575,54999.05078125,530.3513107299805,,73104.453125,672.6090240478516,0.8001412429378532,24,0.40821003913879395,True,"{'lr': 0.01, 'momentum': 0.1}",30,1069.0903441905975
