subepoch,Runtime,time,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,hyperparams,total_time,validation_relax
351,29.672141075134277,316.0137619972229,0.0,3667.7669614335705,-4211779436544.0,0.0,4714.598679690083,-6367902433280.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.5180308818817,True
401,34.36546516418457,361.6526765823364,0.0,3658.589084818075,-4649590980608.0,0.0,4469.091119396065,-8915607617536.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.5180308818817,True
451,38.67874312400818,405.8858172893524,0.0,3635.8637788094607,-5096815984640.0,0.0,4319.0653720944065,-10523739422720.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.5180308818817,True
501,43.40294337272644,452.1770706176758,0.0,3576.234417731602,-6218627153920.0,0.0,4333.170498353238,-10972836134912.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.5180308818817,True
551,47.38766145706177,494.6689465045929,0.0,3510.8081332594265,-6941547167744.0,0.0,4317.3325326980375,-11488213336064.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.5180308818817,True
1,0.027757883071899414,2.6350631713867188,0.0,4023.7367417991622,-136368852992.0,0.0,5317.362918277474,-133179121664.0,{'lr': 0.01},521.810469865799,True
51,4.054683446884155,46.42333388328552,0.0,3987.0006774212898,-730072186880.0,0.0,5102.814658869712,-2154659840000.0,{'lr': 0.01},521.810469865799,True
101,8.29765796661377,91.67740225791931,0.0,3951.258046501399,-1365465235456.0,0.0,5033.277310651803,-2907052965888.0,{'lr': 0.01},521.810469865799,True
151,12.405477523803711,135.30359268188477,0.0,3915.2458214350354,-1761594834944.0,0.0,5043.189811258661,-3014767411200.0,{'lr': 0.01},521.810469865799,True
201,16.4722261428833,180.14351439476013,0.0,3870.7061408505037,-2088086863872.0,0.0,5031.28920090286,-3240132608000.0,{'lr': 0.01},521.810469865799,True
251,20.812522888183594,225.29000902175903,0.0,3819.4623741160326,-2629970690048.0,0.0,4989.602081864016,-3828567769088.0,{'lr': 0.01},521.810469865799,True
301,25.232404708862305,270.35214018821716,0.0,3758.6279922114127,-3416581341184.0,0.0,4886.656213574141,-4786550734848.0,{'lr': 0.01},521.810469865799,True
351,29.630118370056152,315.9975006580353,0.0,3681.0949143986245,-4189256679424.0,0.0,4674.449704952519,-6872456232960.0,{'lr': 0.01},521.810469865799,True
401,33.714316606521606,358.58021450042725,0.0,3671.5330473232734,-4466945032192.0,0.0,4429.903433503813,-9324810207232.0,{'lr': 0.01},521.810469865799,True
451,38.15652585029602,402.8763527870178,0.0,3650.735479119094,-5147650686976.0,0.0,4279.176386713323,-11129114853376.0,{'lr': 0.01},521.810469865799,True
501,42.62209749221802,447.7995059490204,0.0,3593.575243553127,-6035781189632.0,0.0,4290.7980371190215,-11547078295552.0,{'lr': 0.01},521.810469865799,True
551,47.25080895423889,494.29938769340515,0.0,3528.8197723954963,-6748945252352.0,0.0,4273.824535149948,-11759390818304.0,{'lr': 0.01},521.810469865799,True
1,0.034239768981933594,2.7215378284454346,0.0,4048.2574672186474,-30204350464.0,0.0,5272.214138208466,-510487298048.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",522.6013808250427,True
