instance,optimal_value,model
0,10128324.669450976,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
1,10328643.962727249,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
2,9105523.3816316,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
3,9459908.805128748,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
4,9673033.818790898,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
5,8645227.355045738,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
6,10397613.237682013,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
7,11437869.941461584,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
8,10166984.621695148,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
9,9843653.019019146,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
10,9627686.912161592,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
11,8878075.06197781,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
12,9357077.90086025,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
13,10132626.3854939,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
14,11060574.086028442,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
15,9903670.108614398,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
16,8938565.933318323,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
17,10069726.749681624,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
18,10291844.962779647,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
19,9515644.257467657,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
20,11695102.58940924,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
21,12288540.85629909,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
22,8422800.36107092,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
23,8851977.190389559,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
24,8837302.628860576,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
25,7542638.522488225,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
26,9381391.148345063,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
27,11622415.848340774,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
28,9708099.314289708,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
29,11090612.17408198,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
30,10275287.977973899,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
31,9322032.378491031,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
