instance,optimal_value,model
71,12569805.896825135,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
72,6183476.679287244,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
73,6312167.841454192,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
74,10952205.24268255,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
75,8639122.560774352,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
76,8472715.315730214,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
77,8083986.38856709,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
78,8478864.600214506,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
79,8609402.453626776,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
80,8695945.282202462,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
81,7300406.534555773,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
82,8022202.920030582,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
83,7089092.74274582,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
84,9780507.056892473,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
85,8006322.538078049,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
86,6883419.836824635,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
87,6849817.988175648,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
88,8622011.02600504,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
89,6872807.028373205,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
90,6719791.916358961,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
91,6850406.88198658,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
92,8030064.632574854,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
93,8374386.201650445,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
94,8592122.148077741,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
95,7627417.980325232,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
96,6712615.66501403,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
97,8511013.556496102,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
98,10478277.546790121,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
99,7511515.747250547,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
100,8061853.989867769,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
101,11031358.730603036,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
102,6831456.548496452,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
103,7917125.476130241,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
104,6554861.421672624,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
105,8351353.54745738,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
106,7245341.941946588,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
107,6453535.821690665,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
108,8219685.59805604,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
109,8328668.6382109495,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
110,6425943.219257466,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
111,4106208.414314669,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
112,7377801.919857056,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
113,6632753.803590947,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
114,7387296.953049462,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
115,7352498.271971595,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
116,8219126.397429361,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
117,8221539.445778832,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
118,7780654.528866912,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
119,8100297.056180782,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
120,6926490.431915704,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
121,8949688.84926131,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
122,6676337.044628145,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
123,8221644.076975478,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
