subepoch,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,time,hyperparams,total_time,validation_relax
1,115586.28015,4052.10367976587,32523716608,99090.57005,5342.84208550104,18258274304,2.2884795665741,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
51,77685.5976000002,4048.37545458363,-47235478528,69997.4700499999,5322.83079371392,-253200875520,7.16866016387939,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
101,66234.40265,4044.19354674022,-124084011008,61213.78,5315.83698824507,-389985599488,11.8756623268127,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
151,63005.5619250001,4040.31665603208,-219387953152,52811.59925,5316.37587377721,-424336982016,16.8142664432526,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
201,62177.1728,4036.07132118573,-270854201344,52811.59925,5314.76274397142,-478440947712,21.4284870624542,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
251,62177.1728,4031.54715310517,-312883527680,51998.6469000001,5310.64596581393,-564793769984,26.3089022636414,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
301,62177.1728,4025.88816071746,-381684121600,50223.9265499999,5300.72768537824,-715897503744,30.9889094829559,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
351,35995.93735,4017.59105635041,-535012933632,46657.16845,5277.54897702902,-1083150237696,36.1861846446991,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
401,23171.900425,4015.51610967603,-619349573632,39712.2423499999,5250.08635815661,-1680138960896,41.852231502533,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
451,25916.9563500001,4012.04688338932,-736278282240,38629.6758499999,5231.94327770092,-2145420181504,47.7377846240997,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
501,23224.385225,4004.00178540442,-941344129024,39272.45055,5231.94067801987,-2274729132032,53.2608954906464,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
551,23224.385225,3994.65246540135,-1165970341888,38237.683,5228.15953525261,-2445125615616,58.4775743484497,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
553,23224.385225,3994.20339708072,-1178006913024,39272.45055,5227.84429876262,-2458208436224,62.0322144031525,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
603,23224.385225,3990.73861612525,-1307838054400,40413.7867999999,5206.61559360387,-2940756295680,67.4433851242065,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
653,23224.385225,3987.076544474,-1435331723264,40413.7867999999,5201.00836027861,-3097285361664,72.8145771026611,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
703,18723.9662,3983.12307163383,-1489357963264,38686.79075,5204.02909403299,-3070304976896,78.4486236572266,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
753,18723.9662,3978.30292331873,-1584020783104,38547.4193999999,5203.40937146568,-3142431801344,83.9073498249054,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
803,18723.9662,3973.22678409201,-1678902231040,36843.5094,5198.97994620474,-3233857142784,89.6885817050934,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
853,18723.9662,3967.24434109011,-1784624054272,33496.80715,5188.58824916686,-3448773017600,95.3535313606262,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
903,21783.282525,3958.87401034613,-1963541987328,32989.8947,5166.60588741485,-3833680363520,101.748438119888,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
953,21783.282525,3956.88366878938,-2038575136768,31969.5386,5142.3410654741,-4291081273344,107.278507709503,{'optimizer': <class 'torch.optim.adam.Adam'>},16295.218906641,TRUE
