subepoch,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,time,hyperparams,total_time,validation_relax
3261,18232.81975,3772.86371413292,-3210974593024,17817.04915,4888.35762991346,-4811066966016,443.200969696045,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3311,18232.81975,3765.5401767108,-3300809375744,17817.04915,4886.45711529974,-4866574385152,449.515956401825,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3313,18232.81975,3765.16738647712,-3305041035264,17817.04915,4886.21261581078,-4870518079488,453.205878257752,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3363,18232.81975,3762.6393315465,-3362978398208,18217.0262,4868.35356488924,-5022835277824,459.388042926788,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3413,18232.81975,3759.22945329397,-3421013934080,18217.0262,4864.07638390639,-5090626764800,465.695439815521,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3463,18232.81975,3755.63096410473,-3460083613696,18217.0262,4868.65547142515,-5117584605184,471.728064537048,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3513,18232.81975,3751.37041742619,-3493502779392,18217.0262,4869.1999417836,-5058488434688,478.563240766525,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3563,18232.81975,3746.86336685396,-3529148596224,17817.04915,4865.80184148157,-5148626124800,484.541655063629,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3613,18232.81975,3742.04818647907,-3570727911424,16692.372,4857.74815689019,-5240949047296,491.150657653809,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3663,18232.81975,3735.70985740845,-3646975115264,16692.372,4841.40223302737,-5402419265536,497.772664546967,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3713,18444.002425,3734.57303071133,-3690340024320,16637.4171,4821.04491606608,-5608685174784,504.388161182404,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3763,18232.81975,3731.6988479734,-3742439964672,16637.4171,4807.69537578667,-5710862614528,511.190579414368,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
3813,18232.81975,3725.11445190616,-3834069647360,16692.372,4810.10191033193,-5718298066944,517.620710372925,{'optimizer': <class 'torch.optim.adam.Adam'>},20430.8870191574,TRUE
