subepoch,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,time,hyperparams,total time,validation_relax
1003,41535.8215361728,3993.16298638373,-712879702016,20734.33955,5122.46562656898,-1947330674688,114.294909238815,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1053,41535.8215361729,3986.24048352948,-761732497408,21571.6828,5123.92993185335,-2008894013440,119.223180770874,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1103,41535.8215361729,3978.42572330471,-841050882048,21789.0735,5121.47144248968,-2093505576960,124.151701211929,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1105,41535.8215361729,3978.02612014235,-843996659712,21789.0735,5121.20404052698,-2096842539008,126.855681180954,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1155,41012.2127861729,3975.13061911842,-894891425792,23575.4900999999,5101.52701243762,-2235270955008,132.112345218658,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1205,41012.2127861728,3971.57918957978,-943497641984,25229.3899,5095.79771491402,-2316688949248,137.578743934631,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1255,41012.2127861729,3967.77220311011,-990781636608,24814.6426499999,5099.63427308208,-2330423984128,143.038959980011,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1305,41535.8215361729,3963.06926250472,-1017748324352,23575.4900999999,5099.92488407107,-2350932819968,147.94113779068,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1355,41535.8215361728,3958.05723513494,-1021199613952,24814.6426499999,5096.10582865483,-2389654110208,153.028996944428,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1405,41535.8215361729,3952.60713036579,-1027365732352,20738.1512499999,5086.93891476986,-2447233515520,158.267359018326,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1455,41535.8215361729,3945.1299549337,-1076604370944,20738.1512499999,5067.71824363784,-2571663572992,163.193916082382,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1505,39235.1227555121,3943.70158905968,-1116225470464,20738.1512499999,5045.54689160193,-2730270130176,168.279539346695,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1555,37615.4453527372,3940.60579625396,-1164455116800,20738.1512499999,5030.8057737028,-2884783308800,173.709814310074,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1605,41535.8215361729,3933.72360458316,-1270964682752,20738.1512499999,5032.63349153182,-2962708234240,179.106319189072,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1655,40141.3631527372,3925.98557084265,-1354305634304,24814.6426499999,5030.42314405574,-3013648842752,184.474185466766,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1657,40141.3631527373,3925.57815758214,-1356947914752,24814.6426499999,5030.15615862816,-3016677916672,187.531865358353,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1707,40141.3631527372,3922.76780739306,-1405002055680,24814.6426499999,5010.93268671669,-3216066215936,193.193787813187,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1757,40141.3631527373,3919.3730057928,-1437565059072,23575.4900999999,5005.57466124837,-3325448945664,198.104959249496,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1807,41535.8215361729,3915.65412000333,-1485338050560,23575.4900999999,5009.57164533379,-3294169399296,203.614074468613,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1857,41535.8215361728,3910.96972896165,-1523618021376,25437.81495,5009.96231089517,-3280152559616,208.829878807068,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1907,41535.8215361729,3905.97009245286,-1538880765952,21571.6828,5006.18617248396,-3307057709056,213.998782634735,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
1957,41535.8215361729,3900.53367628138,-1554150195200,21012.7110793932,4997.10306773287,-3351269867520,218.790942430496,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
