instance,optimal_value,model
0,8608816.804088814,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
1,8420826.78079977,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
2,7629415.037735141,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
3,7945642.383525763,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
4,8404171.234340852,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
5,7347924.978202094,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
6,8720978.948382042,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
7,9879257.676409889,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
8,8789367.193245754,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
9,8091958.655265961,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
10,7862105.367250607,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
11,7534650.490459335,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
12,8025074.975286952,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
13,8640156.608835489,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
14,9353887.513574816,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
15,8105746.122910888,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
16,7628194.249659925,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
17,8441382.936880583,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
18,8719864.247038899,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
19,8171707.829350923,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
20,9772196.88904894,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
21,10440545.040850496,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
22,7029987.851603431,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
23,7419845.387793762,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
24,7149414.320267636,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
25,6374062.044967972,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
26,7654509.168264612,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
27,9811371.18771212,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
28,8059940.625319915,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
29,9448411.716319263,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
30,8574677.256311148,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
31,7912635.318586894,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
32,7954614.65681663,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
33,7753773.303755962,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
34,8647320.890474867,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
35,11703168.752464969,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
36,9459725.5792945,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
37,8128086.769078043,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
38,7583916.666807808,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
39,8169328.661355945,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
40,8311554.219321343,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
41,10575640.703322958,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
42,9629789.937454393,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
43,8222111.775134257,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
44,8072252.554900672,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
45,9253844.841420181,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
46,6789541.360989631,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
47,7276615.894453976,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
48,7690102.483083841,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
49,8614187.996882472,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
50,8011250.133430304,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
51,7255150.420020641,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
52,8021608.845488404,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
53,7221184.408147162,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
54,6471682.155615388,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
55,6610188.767538159,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
56,9812103.586043628,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
57,8647808.433441302,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
58,8119108.26442065,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
59,9016186.940709678,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
60,7683324.523065858,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
61,7626905.124590215,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
62,8259750.19942475,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
63,9432837.630689116,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
64,10219587.371046057,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
65,11329244.17945281,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
66,8075250.607139036,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
67,8890221.884434065,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
68,8448230.757739937,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
69,6142527.9287505,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
70,9022098.193262296,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
