,model,lr,Mean loss,SD loss,Mean regret,SD regret,Mean accuracy,SD accuracy,Mean precision,SD precision,Mean tpr,Mean fpr
0,selreg,1.0,1074.5769775390625,16.13238535984772,33.101616043132196,6.728891075109211,0.8859177215189874,0.007021550253424853,0.9377733026467204,0.0038299365018681173,0.9377733026467204,0.6844936708860759
1,selreg,0.1,1074.0378173828126,17.908086720879922,30.409274321745777,5.555893495090903,0.8889943741209564,0.006090801701794115,0.9394514767932488,0.0033222554737058966,0.9394514767932488,0.6660337552742616
2,SPO,1.0,1.8024461050786612e+16,1.4380687718028894e+16,170.0701175227777,123.1174105911694,0.8612165963431787,0.033503920884059665,0.9242999616417336,0.0182748659367598,0.9242999616417336,0.8327004219409284
3,SPO,0.1,2.3895145778774016e+16,1.1741691739903264e+16,220.3325899229601,100.52494480036484,0.8475386779184249,0.02735583684950775,0.9168392788645953,0.014921365554276944,0.9168392788645953,0.9147679324894515
