,model,lr,Mean loss,SD loss,Mean regret,SD regret,Mean accuracy,SD accuracy,Mean precision,SD precision,Mean tpr,Mean fpr
0,linear regression,1.0,4832.58837890625,33.30955690405282,28.00609687348113,12.405003015405454,0.8886603375527425,0.015127735085318691,0.9392692750287688,0.008251491864719284,0.9392692750287688,0.6680379746835443
1,linear regression,0.1,4832.556640625,31.36093019849639,20.660033642177623,4.958735674657924,0.8990506329113925,0.01046344027002666,0.9449367088607594,0.00570733105637819,0.9449367088607594,0.6056962025316455
2,linear regression,0.01,4827.51923828125,22.52232893116748,20.946704493648518,4.347243499311757,0.8998593530239101,0.007937992475283363,0.9453778289221327,0.004329814077427293,0.9453778289221327,0.6008438818565401
3,linear regression,0.001,4838.3359375,39.20790730297959,22.57375507763654,6.020815902144754,0.8953938115330521,0.008697824381479632,0.9429420790180284,0.004744267844443442,0.9429420790180284,0.6276371308016878
4,SPO,1.0,14783.56142578125,65.11263579876031,272.60007525062036,0.012464489585536993,0.8333333333333334,0.0,0.909090909090909,1.1102230246251565e-16,0.909090909090909,1.0
5,SPO,0.1,14793.3638671875,50.19123552835914,272.6026195539028,0.011659462382522839,0.8333333333333334,0.0,0.909090909090909,1.1102230246251565e-16,0.909090909090909,1.0
6,SPO,0.01,14788.96591796875,52.13731655627263,272.6077081604676,0.007632909847200153,0.8333333333333334,0.0,0.909090909090909,1.1102230246251565e-16,0.909090909090909,1.0
7,SPO,0.001,14788.3744140625,87.2402443634102,272.6026195539028,0.011659462382522839,0.8333333333333334,0.0,0.909090909090909,1.1102230246251565e-16,0.909090909090909,1.0
