,model,lr,Mean loss,SD loss,Mean regret,SD regret,Mean accuracy,SD accuracy,Mean precision,SD precision,Mean tpr,Mean fpr
0,selreg,0.0001,1275.754248046875,10.859481298873206,30.073143293704636,8.143959755341038,0.8873241912798875,0.008271029564229714,0.9385404679708478,0.00451147067139804,0.9385404679708478,0.6760548523206752
1,selreg,1e-05,3594.3657470703124,18.863484192208965,104.76583509605598,33.61933576358299,0.8482067510548523,0.0064940799892577745,0.9172036823935559,0.003542225448686064,0.9172036823935559,0.910759493670886
2,selreg,1e-06,4825.815771484375,53.07155258818875,156.68809669720252,32.9319647507134,0.8431258790436006,0.004254462052980172,0.9144322976601458,0.0023206156652618884,0.9144322976601458,0.9412447257383967
3,SPO,0.0001,5396.965869140625,40.595106412296104,273.37168281297926,2.136918773455157,0.8333333333333334,0.0,0.909090909090909,1.1102230246251565e-16,0.909090909090909,1.0
4,SPO,1e-05,5027.60712890625,45.200581959336965,275.95601177586065,7.592256746532853,0.8333333333333334,0.0,0.909090909090909,1.1102230246251565e-16,0.909090909090909,1.0
5,SPO,1e-06,4995.996923828125,43.107966742885516,174.3747377599908,89.26857373746043,0.8456926863572433,0.01645311333967915,0.9158323743766781,0.008974425458006826,0.9158323743766781,0.9258438818565399
