instance,optimal_value,model
0,11375610.202620361,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
1,11683500.284122832,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
2,10355033.768170636,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
3,10663883.303903215,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
4,11043958.830816757,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
5,9696352.274723675,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
6,11626241.36498331,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
7,12687387.573082479,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
8,11275570.30339595,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
9,10860508.652104206,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
10,10956884.423462642,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
11,9955098.946174005,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
12,10381600.479197295,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
13,11308495.675734876,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
14,12503307.247144472,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
15,11289172.588853443,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
16,10013408.131541967,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
17,11336068.01851924,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
18,11537466.532911712,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
19,10632199.843853638,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
20,13228013.053230725,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
21,13826642.156681133,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
22,9537929.689112991,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
23,10075722.88528318,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
24,10085907.067914836,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
25,8482620.83355142,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
26,10671656.244196363,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
27,13029339.139495231,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
28,11044375.42026613,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
29,12384651.407860558,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
30,11471112.062231282,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
31,10459183.952620607,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
32,10349923.917658731,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
33,10004920.333581053,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
34,11977047.548425794,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
35,15035198.997474313,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
36,12648611.338666493,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
37,10901545.24545238,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
38,10048037.868782764,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
39,11223533.814801978,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
40,11007138.208721746,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
41,13300541.97484359,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
42,12868091.158397803,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
43,10340975.913112175,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
