instance,optimal_value,model
0,9181209.880043052,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
1,9334768.56149866,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
2,8257790.301534985,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
3,8642980.157648422,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
4,9270372.123263383,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
5,7826561.389402281,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
6,9306204.815295143,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
7,10334701.857098296,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
8,9303459.625271913,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
9,8499297.05201758,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
10,8540610.702308828,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
11,8043008.018867787,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
12,8584501.245783707,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
13,9202377.916375296,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
14,9940192.961943593,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
15,8790638.87108828,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
16,8137026.92869927,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
17,9185050.8016937,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
18,9363519.864666242,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
19,8683119.497870127,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
20,10493465.642292924,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
21,11281230.466390489,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
22,7852868.599660542,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
23,8408686.54636474,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
24,7863227.686257883,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
25,6877567.658449067,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
26,8176755.447613899,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
27,10315507.26945623,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
28,8630760.678948985,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
29,10036218.316545837,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
30,9191160.450111428,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
31,8424493.828893103,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
32,8463486.761800626,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
33,8274873.627694923,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
34,9389449.343129804,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
35,12392227.552272884,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
36,10168250.181830969,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
37,8513016.913379507,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
38,8062086.602717439,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
39,8894807.381039536,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
40,8820896.203990337,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
41,11063348.300123263,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
42,10280683.26176979,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
43,8810866.92130864,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
44,8330199.899322294,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
45,10207175.832041305,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
46,7389798.263999452,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
47,7800302.063699155,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
48,8182066.786724248,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
49,9187351.682233464,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
50,8555106.31199481,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
51,7966918.091578976,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
52,8564545.714637429,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
53,8117198.744280121,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
54,6938379.575201807,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
55,6786939.73330106,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
56,10141686.1444507,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
57,9138853.765405659,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
58,8537667.578021133,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
59,9563601.929674024,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
60,8183946.642700187,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
61,7846725.378964518,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
62,8843561.132643005,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
63,10177702.452693071,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
64,10903519.480616394,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
65,11215751.187448677,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
66,8553978.96261334,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
67,9486154.398090856,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
68,9081950.294321671,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
69,6568876.1276931465,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
70,9548749.021485005,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
71,14174658.932746934,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
72,7225487.066510954,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
73,7268639.241955637,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
74,12330904.837757176,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
75,9802260.287759494,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
76,9309760.816057524,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
77,9220542.64654013,../Results/MSE_pred/MSE-prediction_test_epoch20.npy
